id,name,region_id,federal_district_id
346,Иркутск,75,5
347,Исилькуль,47,5
348,Искитим,5,5
349,Истра,73,6
350,Ишим,69,1
351,Ишимбай,86,7
352,Йошкар-Ола,58,7
353,Кадников,31,2
354,Казань,22,7
355,Калач,65,6
356,Калач-на-Дону,50,8
357,Калачинск,47,5
358,Калининград,14,2
359,Калининск,17,7
360,Калтан,12,5
361,Калуга,26,6
362,Калязин,83,6
363,Камбарка,81,7
364,Каменка,59,7
365,Каменногорск,19,2
366,Каменск-Уральский,29,1
367,Каменск-Шахтинский,33,8
368,Камень-на-Оби,62,5
369,Камешково,46,6
370,Камызяк,13,8
371,Камышин,50,8
372,Камышлов,29,1
373,Канаш,43,7
374,Кандалакша,10,2
375,Канск,20,5
376,Карабаново,46,6
377,Карабаш,53,1
378,Карабулак,52,3
379,Карасук,5,5
380,Карачаевск,9,3
381,Карачев,84,6
382,Каргат,5,5
383,Каргополь,25,2
384,Карпинск,29,1
385,Карталы,53,1
386,Касимов,74,6
387,Касли,53,1
388,Каспийск,51,3
389,Катав-Ивановск,53,1
390,Катайск,4,1
391,Качканар,29,1
392,Кашин,83,6
393,Кашира,73,6
394,Кедровый,66,5
395,Кемерово,12,5
396,Кемь,80,2
397,Керчь,44,8
398,Кизел,49,7
399,Кизилюрт,51,3
400,Кизляр,51,3
401,Кимовск,40,6
402,Кимры,83,6
403,Кингисепп,19,2
404,Кинель,78,7
405,Кинешма,42,6
406,Киреевск,40,6
407,Киренск,75,5
408,Киржач,46,6
409,Кириллов,31,2
410,Кириши,19,2
411,Киров,26,6
412,Киров,41,7
413,Кировград,29,1
414,Кирово-Чепецк,41,7
415,Кировск,19,2
416,Кировск,10,2
417,Кирс,41,7
418,Кирсанов,3,6
419,Киселёвск,12,5
420,Кисловодск,72,3
421,Клин,73,6
422,Клинцы,84,6
423,Княгинино,71,7
424,Ковдор,10,2
425,Ковров,46,6
426,Ковылкино,6,7
427,Когалым,61,1
428,Кодинск,20,5
429,Козельск,26,6
430,Козловка,43,7
431,Козьмодемьянск,58,7
432,Кола,10,2
433,Кологрив,27,6
434,Коломна,73,6
435,Колпашево,66,5
436,Кольчугино,46,6
437,Коммунар,19,2
438,Комсомольск,42,6
439,Комсомольск-на-Амуре,15,4
440,Конаково,83,6
441,Кондопога,80,2
442,Кондрово,26,6
443,Константиновск,33,8
444,Копейск,53,1
445,Кораблино,74,6
446,Кореновск,24,8
447,Коркино,53,1
448,Королёв,73,6
449,Короча,35,6
450,Корсаков,76,4
451,Коряжма,25,2
452,Костерёво,46,6
453,Костомукша,80,2
454,Кострома,27,6
455,Котельники,73,6
456,Котельниково,50,8
457,Котельнич,41,7
458,Котлас,25,2
459,Котово,50,8
460,Котовск,3,6
461,Кохма,42,6
462,Красавино,31,2
463,Красноармейск,73,6
464,Красноармейск,17,7
465,Красновишерск,49,7
466,Красногорск,73,6
467,Краснодар,24,8
468,Краснозаводск,73,6
469,Краснознаменск,14,2
470,Краснознаменск,73,6
471,Краснокаменск,1,5
472,Краснокамск,49,7
473,Красноперекопск,44,8
474,Краснослободск,50,8
475,Краснослободск,6,7
476,Краснотурьинск,29,1
477,Красноуральск,29,1
478,Красноуфимск,29,1
479,Красноярск,20,5
480,Красный Кут,17,7
